label,best,worst,mean,variance,duration
random,0.8793223,0,0.0005601272,0.0002752628,541.318097722
random,0.83215594,0,0.0005028693,0.00023984796,543.860032450
random,0.84567297,0,0.0005816124,0.00027377182,539.728566936
random,0.82829565,0,0.000542745,0.00025956804,540.920483860
random,0.9141327,0,0.0005045873,0.00025135936,543.169315111
random,0.84935653,0,0.0004819943,0.00023230807,542.984694988
random,0.8743391,0,0.00053331966,0.00026730698,542.617430470
random,0.85780036,0,0.00050735805,0.0002490637,544.184617764
random,0.849661,0,0.00047260534,0.00023384154,542.857886719
random,0.8418879,0,0.00054339017,0.00026130475,543.384470791
random,0.79524213,0,0.0005162677,0.00025038884,543.235661341
ge,0.9998379,0,0.9645144,0.031474344,114.6829
ge,0.9970342,0,0.9469161,0.04188879,136.90137
ge,0.99964845,0,0.88404155,0.09551758,140.48064
ge,0.9964137,0,0.9391495,0.044490457,144.28804
ge,0.998645,0,0.8961326,0.085133456,100.94868
ge,0.9981445,0,0.9095185,0.07190197,98.107544
ge,0.997699,0,0.93723196,0.047040325,32.601334
ge,0.99788207,0,0.94742566,0.042025186,58.143963
ge,0.85423845,0,0.8037082,0.030226815,110.981514
ge,0.99877435,0,0.91135573,0.07199643,156.10341
ge,0.966346,0,0.9503071,0.013475743,57.037476
